라바, 79, 173
바라, 73, 147
카바, 62, 182
아다, 63, 175
차가, 88, 173
사카, 91, 166
마마, 91, 150
아바, 78, 197
차바, 97, 161
아파, 97, 179
가타, 94, 154
라하, 45, 176
타하, 76, 189
자나, 64, 153
라파, 77, 189
가다, 75, 179
가사, 41, 143
사자, 79, 153
하마, 98, 185
파파, 99, 189
파바, 42, 152
아하, 48, 151
차라, 76, 154
자나, 63, 179
라카, 72, 167
다파, 57, 172
가아, 65, 167
하차, 89, 156
타라, 80, 159
카차, 75, 184
나아, 91, 141
아타, 53, 149
다바, 50, 167
마아, 74, 164
마나, 87, 179
라타, 72, 168
라다, 94, 161
아가, 49, 186
사아, 79, 183
하마, 97, 173
아카, 82, 145
라마, 98, 142
다자, 61, 176
카다, 99, 185
나차, 55, 171
사타, 85, 149
마사, 76, 183
파타, 55, 189
아마, 92, 152
파차, 47, 195
파타, 60, 154
타마, 70, 155
마파, 43, 157
차바, 98, 180
차파, 76, 180
아카, 96, 165
바아, 59, 164
라사, 44, 155
차차, 74, 140
가사, 78, 148
마사, 73, 141
자다, 93, 166
마타, 58, 185
하타, 93, 148
나바, 43, 191
카아, 86, 175
바마, 51, 188
자나, 73, 145
나다, 95, 140
자아, 92, 170
차타, 69, 171
하사, 64, 170
가차, 82, 146
가자, 65, 149
아카, 95, 175
마다, 62, 173
가사, 46, 171
바가, 70, 141
사마, 90, 170
바차, 75, 183
다하, 75, 168
다라, 70, 179
아나, 75, 171
마마, 87, 182
사바, 78, 198
파파, 70, 176
카나, 43, 177
사다, 92, 173
사마, 98, 195
가차, 50, 142
자파, 74, 158
다하, 42, 142
타마, 48, 145
타나, 50, 140
하카, 77, 145
파타, 69, 192
사나, 89, 153
카카, 59, 156
하다, 62, 161
가파, 92, 189
자나, 76, 158
가바, 88, 190
타나, 81, 188
사아, 59, 190
바라, 56, 191
라바, 65, 169
바라, 54, 181
자마, 61, 166
바가, 64, 154
마가, 91, 199
다아, 91, 191
바차, 50, 153
가아, 67, 147
아바, 80, 186
마다, 65, 172
타파, 96, 151
아아, 89, 184
사바, 60, 161
나하, 92, 175
아타, 51, 189
아파, 89, 142
차다, 94, 170
차하, 43, 176
사가, 92, 171
자라, 53, 193
마카, 96, 150
사타, 95, 154
파다, 99, 158
가마, 96, 153
마라, 65, 146
가나, 62, 196
라마, 66, 165
바다, 52, 141
하자, 89, 141
파타, 43, 146
카차, 61, 178
파바, 64, 184
다하, 77, 179
하아, 86, 198
카나, 50, 194
사마, 60, 178
파카, 75, 158
바나, 71, 144
카카, 53, 191
다차, 95, 161
자라, 68, 153
바타, 47, 193
카차, 41, 196
나사, 96, 194
나가, 51, 145
라나, 97, 161
다다, 94, 154
파카, 96, 172
마가, 71, 184
카카, 71, 158
하아, 79, 163
카하, 95, 145
라하, 74, 172
카바, 95, 186
마자, 96, 159
바사, 50, 159
나마, 69, 188
라아, 72, 190
자바, 58, 170
차나, 71, 155
타마, 67, 173
바가, 65, 147
나타, 67, 152
카아, 59, 164
마다, 68, 172
다마, 53, 153
사하, 66, 145
차아, 44, 156
자자, 59, 143
카다, 63, 191
아아, 95, 159
마라, 41, 174
타다, 62, 170
가바, 74, 187
다마, 65, 162
차하, 68, 170
카파, 88, 184
바파, 42, 195
하차, 47, 170
파카, 98, 184
아사, 85, 148
자카, 83, 164
차마, 92, 192
나나, 77, 149
하마, 94, 196
다다, 44, 152
카아, 97, 188
마사, 62, 170
아파, 93, 160
바마, 44, 150
바가, 40, 174
라사, 63, 159
다다, 41, 170
사바, 93, 179
카자, 83, 152
사바, 40, 150
다파, 94, 147
라카, 74, 181
가사, 87, 157
타마, 44, 148
바다, 52, 197
타아, 82, 193
사아, 40, 182
가바, 44, 147
하자, 93, 176
바나, 71, 189
다다, 52, 150
자아, 57, 173
하타, 98, 191
타하, 40, 174
바라, 56, 142
라카, 76, 182
다차, 92, 176
바카, 50, 199
바카, 92, 148
나아, 62, 168
파하, 78, 154
카가, 98, 199
카사, 42, 177
라사, 96, 156
타사, 51, 196
타나, 75, 172
마다, 82, 179
사파, 52, 142
마라, 53, 193
카아, 76, 166
마사, 68, 141
차하, 89, 166
바사, 65, 166
파가, 71, 168
자파, 80, 151
나차, 42, 195
다다, 50, 191
라사, 85, 185
파바, 79, 172
하마, 88, 175
하파, 46, 164
다차, 75, 151
바타, 44, 148
자다, 72, 149
라카, 70, 145
파파, 48, 199
자차, 67, 160
카사, 73, 159
아다, 63, 157
다차, 89, 184
마아, 85, 171
마타, 47, 157
카자, 79, 148
마사, 97, 197
차파, 80, 158
나하, 96, 157
자타, 48, 151
사차, 89, 170
가아, 53, 170
타사, 79, 161
나카, 66, 190
아다, 70, 158
차타, 84, 192
사라, 56, 154
타아, 42, 183
자사, 93, 165
타차, 51, 153
마사, 72, 190
라파, 81, 195
나타, 51, 146
타타, 41, 171
가하, 65, 196
타카, 95, 140
마다, 40, 169
타바, 44, 152
바가, 53, 141
마마, 60, 145
사라, 93, 163
자사, 93, 189
바마, 74, 188
나라, 83, 144
파카, 80, 140
가아, 49, 198
파타, 49, 154
자마, 84, 158
바사, 62, 190
바마, 71, 176
마바, 64, 149
카가, 72, 176
파라, 61, 199
카마, 66, 198
라마, 95, 152
가차, 70, 179
라가, 53, 184
자가, 72, 192
마아, 96, 173
바가, 94, 148
카하, 41, 190
마사, 41, 170
라가, 70, 183
가나, 61, 174
파가, 47, 160
카가, 90, 185
사카, 57, 184
파카, 72, 167
아하, 91, 172
아라, 60, 193
가하, 70, 167
카나, 90, 154
하아, 41, 186
아아, 83, 147
가라, 67, 157
아파, 57, 159
자하, 74, 155
파파, 51, 179
파아, 86, 177
카타, 98, 183
파아, 80, 160
라가, 43, 181
다다, 53, 150
사사, 51, 170
아라, 69, 189
아마, 49, 192
라라, 68, 145
파자, 96, 171
카자, 86, 158
라차, 68, 142
타사, 61, 170
자마, 62, 183
하마, 70, 181
바카, 75, 191
하자, 43, 172
사아, 52, 192
파바, 51, 143
마타, 40, 151
바차, 84, 198
가다, 89, 177
하사, 94, 165
자자, 87, 160
가라, 86, 149
하다, 80, 140
나차, 86, 193
자타, 99, 181
파나, 88, 143
카아, 41, 189
마파, 58, 145
라자, 91, 159
하타, 93, 155
아아, 72, 140
가아, 71, 192
다카, 46, 197
자다, 65, 188
나나, 99, 196
사나, 67, 140
아다, 70, 198
차차, 59, 145
사타, 64, 181
다자, 63, 177
사자, 43, 155
바가, 76, 161
마파, 86, 192
나아, 56, 176
아가, 47, 158
차파, 56, 183
사바, 70, 160
타자, 40, 163
나라, 51, 172
차파, 67, 168
차타, 75, 160
타마, 57, 190
아하, 77, 150
마자, 53, 142
나아, 66, 163
카자, 58, 196
자카, 43, 164
나가, 97, 156
카라, 93, 144
타카, 67, 144
파바, 47, 175
라아, 93, 163
다카, 55, 146
가차, 92, 171
아차, 63, 140
파마, 79, 169
바라, 63, 183
하가, 43, 149
타차, 55, 142
아다, 69, 187
마마, 95, 143
하바, 87, 168
다나, 82, 156
타다, 45, 156
카아, 40, 144
사카, 63, 142
마가, 84, 177
마라, 74, 164
마파, 80, 166
카라, 92, 176
마나, 67, 195
하하, 74, 172
타아, 93, 179
카가, 45, 174
다사, 97, 187
다자, 62, 172
타나, 46, 156
파바, 53, 179
가자, 85, 161
나카, 78, 193
자아, 85, 165
아하, 82, 165
가가, 83, 152
타타, 51, 189
타자, 76, 150
바아, 40, 185
타라, 55, 189
라다, 91, 151
바자, 72, 161
타가, 61, 191
라파, 95, 141
가다, 59, 178
나다, 66, 142
다마, 71, 144
하다, 84, 157
자사, 74, 164
라나, 84, 168
아파, 92, 149
마사, 99, 152
타하, 86, 196
하하, 67, 152
카하, 85, 161
차아, 86, 153
라마, 94, 178
나차, 98, 178
하가, 48, 190
타하, 90, 151
다파, 68, 188
타라, 71, 140
다다, 91, 187
자다, 99, 144
마아, 50, 181
바자, 64, 163
다타, 73, 154
하다, 48, 142
자나, 48, 189
사차, 72, 177
나하, 71, 143
차아, 46, 158
가라, 73, 153
사차, 48, 141
사사, 70, 182
하라, 64, 160
다카, 75, 196
카사, 68, 158
타하, 97, 164
타라, 68, 162
다카, 91, 143
자라, 44, 142
가나, 48, 197
다아, 62, 141
타다, 48, 187
차사, 53, 156
차바, 65, 193
자하, 49, 148
카아, 90, 181
타카, 40, 141
마바, 72, 178
차나, 58, 160
하가, 70, 177
하차, 75, 160
자아, 59, 193
라차, 51, 187
라마, 77, 195
자차, 75, 170
파카, 83, 180
하라, 41, 196
바타, 64, 141
하다, 70, 172
파파, 56, 142
하다, 91, 177
라아, 84, 186
카차, 94, 141
하바, 55, 173
바라, 79, 149
파카, 89, 188
바하, 91, 199
파마, 58, 173
자차, 69, 187
나마, 69, 181
사차, 73, 190
나바, 46, 141
다차, 89, 198
차차, 49, 166
사차, 45, 177
차자, 42, 165
자마, 64, 186
타타, 94, 187
하마, 79, 153
아다, 42, 178
하사, 94, 162
카나, 88, 176
차사, 65, 153
하나, 58, 199
차사, 47, 188
사타, 93, 149
카자, 66, 185
사자, 57, 159
바사, 89, 164
라가, 71, 177
바라, 90, 181
타마, 86, 188
나다, 65, 162
마나, 64, 185
사가, 99, 174
마자, 48, 183
아카, 78, 145
다파, 73, 156
카파, 66, 179
아타, 80, 179
타바, 61, 172
파자, 83, 183
하가, 59, 143
자차, 57, 182
자차, 59, 165
마자, 54, 196
타자, 53, 175
아차, 70, 170
가카, 61, 183
라가, 40, 160
다사, 46, 169
하타, 89, 146
아라, 81, 191
라다, 58, 166
다차, 43, 155
다라, 65, 190
파파, 41, 166
차사, 98, 195
사다, 54, 159
사바, 98, 158
차자, 49, 197
카마, 88, 192
차바, 58, 149
마타, 40, 164
바마, 42, 176
사사, 43, 186
다파, 95, 158
바사, 81, 190
마자, 87, 157
다나, 93, 177
자나, 53, 160
파다, 84, 184
자다, 54, 167
자나, 50, 146
라파, 62, 188
타자, 94, 142
사자, 57, 199
카자, 94, 195
자바, 52, 183
바나, 73, 142
나파, 57, 163
가타, 74, 149
카자, 82, 174
다사, 68, 170
아사, 76, 149
차라, 59, 175
바바, 49, 180
아마, 95, 193
카아, 93, 151
사아, 67, 195
나카, 67, 143
바타, 44, 185
카나, 56, 193
파파, 97, 148
파사, 48, 186
아가, 45, 160
자자, 88, 168
자카, 69, 168
라자, 83, 152
아사, 89, 145
다카, 56, 163
바나, 65, 183
아바, 42, 168
아하, 44, 161
타자, 61, 187
사마, 81, 143
나사, 58, 165
카자, 72, 197
바사, 45, 178
라나, 75, 150
자사, 52, 173
마나, 98, 152
하아, 41, 155
카타, 77, 165
바바, 88, 179
차나, 41, 155
나카, 95, 160
아차, 78, 169
마라, 92, 198
라나, 62, 151
마가, 87, 166
다카, 89, 159
다차, 81, 191
바카, 98, 151
바마, 41, 146
하차, 66, 189
카가, 81, 198
자다, 89, 156
차아, 68, 166
라나, 62, 195
나타, 87, 165
마아, 45, 140
라마, 98, 170
파하, 88, 165
사바, 56, 140
다마, 69, 187
카라, 57, 166
카나, 43, 169
하파, 88, 192
아바, 82, 198
라마, 44, 179
타카, 43, 169
다아, 76, 162
사마, 63, 171
카아, 41, 140
바라, 87, 186
아사, 76, 151
파타, 48, 169
하하, 49, 179
다파, 72, 174
다사, 61, 175
하나, 72, 163
파자, 91, 162
파자, 76, 170
라아, 55, 171
차라, 53, 193
다바, 42, 196
파사, 47, 185
마파, 88, 163
하바, 91, 162
하가, 70, 198
마자, 72, 185
카나, 83, 196
아아, 41, 179
사다, 86, 162
차다, 70, 199
바마, 83, 146
아하, 87, 146
차가, 49, 141
카타, 47, 156
하라, 80, 142
파타, 99, 192
차바, 81, 163
마자, 89, 147
타아, 58, 169
파카, 88, 185
타마, 90, 176
나라, 49, 185
마하, 93, 183
사가, 80, 144
아마, 53, 166
나사, 45, 185
다마, 98, 143
가자, 99, 178
다다, 86, 191
마파, 47, 169
하바, 56, 190
파아, 68, 160
마하, 63, 178
마가, 64, 186
자자, 55, 167
바사, 52, 148
마타, 95, 147
자다, 86, 192
다카, 86, 185
카마, 51, 157
바라, 92, 160
타나, 66, 162
하마, 64, 171
타타, 62, 167
자카, 87, 169
라자, 94, 167
가가, 48, 147
바파, 59, 191
자마, 69, 155
파마, 42, 195
다다, 84, 144
다차, 80, 166
타마, 54, 149
바마, 77, 173
타파, 69, 164
하라, 97, 177
사라, 73, 147
타가, 47, 178
가바, 62, 173
아자, 42, 160
파마, 63, 195
자다, 76, 186
타카, 93, 162
다다, 59, 199
카가, 92, 173
가라, 83, 188
자사, 67, 191
파사, 88, 145
라라, 62, 153
바사, 47, 191
다파, 99, 188
자파, 69, 193
바라, 84, 194
타사, 57, 152
파가, 86, 190
하나, 60, 179
아마, 52, 182
다파, 48, 184
아가, 86, 193
차라, 84, 148
하마, 62, 187
나바, 93, 185
타나, 56, 148
카타, 44, 169
하바, 64, 169
하아, 99, 163
사자, 46, 173
사사, 51, 164
아타, 99, 197
마마, 43, 147
차다, 85, 160
가카, 97, 175
자차, 63, 179
바바, 80, 162
카파, 70, 179
아다, 90, 174
가차, 64, 187
라차, 64, 173
다카, 94, 143
나차, 79, 176
카자, 86, 144
하파, 44, 168
자차, 67, 193
차다, 99, 158
아바, 48, 176
바카, 77, 141
카바, 57, 149
바타, 62, 198
하카, 66, 147
나파, 69, 189
하아, 50, 155
타다, 99, 157
마라, 57, 194
가라, 73, 142
하사, 58, 198
마가, 76, 157
다사, 88, 171
아아, 99, 142
바자, 58, 183
가라, 96, 157
차파, 83, 154
사다, 41, 188
하아, 95, 185
마하, 44, 170
라라, 65, 147
다차, 77, 153
다가, 54, 169
마사, 41, 174
가타, 53, 183
사차, 73, 141
다사, 63, 150
아사, 49, 156
가바, 97, 192
자파, 59, 164
타가, 52, 166
라라, 58, 142
바타, 79, 141
라타, 54, 199
파나, 88, 172
